Timestamp,Value
Nov 2008,62.2
Dec 2008,48.8
Jan 2009,50.2
Feb 2009,37.8
Mar 2009,67.4
Apr 2009,13.6
May 2009,47
Jun 2009,30.4
Jul 2009,67.8
Aug 2009,58.6
Sep 2009,63.4
Oct 2009,35.8
Nov 2009,84.2
Dec 2009,28.4
Jan 2010,65
Feb 2010,51.4
Mar 2010,36.8
Apr 2010,36.6
May 2010,29.4
Jun 2010,48.2
Jul 2010,98.2
Aug 2010,67
Sep 2010,88.2
Oct 2010,54.6
Nov 2010,39.2
Dec 2010,36.4
Jan 2011,39.4
Feb 2011,133
Mar 2011,76.6
Apr 2011,35.4
May 2011,62.4
Jun 2011,74
Jul 2011,142.2
Aug 2011,124.2
Sep 2011,67.6
Oct 2011,46
Nov 2011,52.6
Dec 2011,110.6
Jan 2012,83.4
Feb 2012,33.2
Mar 2012,12
Apr 2012,114.4
May 2012,42.8
Jun 2012,51.2
Jul 2012,70
Aug 2012,49.2
Sep 2012,76.4
Oct 2012,72.8
Nov 2012,21.8
Dec 2012,54.2
Jan 2013,47.2
Feb 2013,30.4
Mar 2013,24.2
Apr 2013,41.2
May 2013,71.4
Jun 2013,33.4
Jul 2013,48.8
Aug 2013,35
Sep 2013,45
Oct 2013,69.8
Nov 2013,58.4
Dec 2013,127
Jan 2014,46.6
Feb 2014,47.2
Mar 2014,43
Apr 2014,43.4
May 2014,57
Jun 2014,62.4
Jul 2014,32.8
Aug 2014,160.4
Sep 2014,17.6
Oct 2014,163.4
Nov 2014,41.8
Dec 2014,107.8
Jan 2015,139.6
Feb 2015,50
Mar 2015,69.2
Apr 2015,37
May 2015,58.2
Jun 2015,50
Jul 2015,78
Aug 2015,41
Sep 2015,27.4
Oct 2015,35.8
Nov 2015,79.6
Dec 2015,139.4
Jan 2016,83.6
Feb 2016,74
Mar 2016,50.4
Apr 2016,62.4
May 2016,50.2
Jun 2016,50
Jul 2016,83.8
Aug 2016,53.4
Sep 2016,56.6
Oct 2016,28.6
Nov 2016,24.6
Dec 2016,71.2
Jan 2017,37.4
Feb 2017,40.8
Mar 2017,54.4
Apr 2017,23
May 2017,26.4
Jun 2017,97.8
Jul 2017,58.2
Aug 2017,85
Sep 2017,71.8
Oct 2017,52
Nov 2017,100.4
Dec 2017,54
Jan 2018,69.2
Feb 2018,30
Mar 2018,39
Apr 2018,45.2
May 2018,34.4
Jun 2018,16.2
Jul 2018,47.6
Aug 2018,33.2
Sep 2018,74.2
Oct 2018,51
