Timestamp,Value
Nov-08,4.8
Dec-08,2.3
Jan-09,2.6
Feb-09,2.9
Mar-09,4.9
Apr-09,7.8
May-09,9.3
Jun-09,12.1
Jul-09,13.8
Aug-09,13.5
Sep-09,11.8
Oct-09,8.9
Nov-09,5.5
Dec-09,0.5
Jan-10,0.3
Feb-10,0.4
Mar-10,3.8
Apr-10,6.6
May-10,8.3
Jun-10,12.6
Jul-10,13.2
Aug-10,12.5
Sep-10,11.3
Oct-10,8.1
Nov-10,2.8
Dec-10,-1.8
Jan-11,2.1
Feb-11,3.7
Mar-11,4.5
Apr-11,9.1
May-11,9.2
Jun-11,10.7
Jul-11,12.7
Aug-11,12.2
Sep-11,11.9
Oct-11,9.5
Nov-11,7.7
Dec-11,3.1
Jan-12,3.2
Feb-12,4.4
Mar-12,7.1
Apr-12,4.9
May-12,8.6
Jun-12,10.4
Jul-12,12.2
Aug-12,13.5
Sep-12,10.3
Oct-12,6.1
Nov-12,4.6
Dec-12,2.4
Jan-13,2.9
Feb-13,2.2
Mar-13,1.3
Apr-13,4.8
May-13,8.4
Jun-13,11.6
Jul-13,15.2
Aug-13,13.7
Sep-13,11.2
Oct-13,9.4
Nov-13,4.2
Dec-13,5
Jan-14,3.5
Feb-14,3.8
Mar-14,5.5
Apr-14,7.9
May-14,9.8
Jun-14,12.9
Jul-14,14.5
Aug-14,12.2
Sep-14,12.5
Oct-14,9.1
Nov-14,6.4
Dec-14,3.1
Jan-15,2.5
Feb-15,2.9
Mar-15,4.4
Apr-15,6.3
May-15,7.6
Jun-15,10.6
Jul-15,12.2
Aug-15,12.9
Sep-15,10.8
Oct-15,8.7
Nov-15,6.2
Dec-15,5.4
Jan-16,3.1
Feb-16,2.2
Mar-16,4.6
Apr-16,5.1
May-16,9.8
Jun-16,12.3
Jul-16,13.1
Aug-16,13.3
Sep-16,12.7
Oct-16,8.4
Nov-16,3.4
Dec-16,5.6
Jan-17,3.6
Feb-17,4
Mar-17,5.4
Apr-17,6.7
May-17,10.6
Jun-17,12.1
Jul-17,12.9
Aug-17,12.8
Sep-17,11.2
Oct-17,9.7
Nov-17,4.1
Dec-17,2.9
Jan-18,2.2
Feb-18,1.7
Mar-18,2.4
Apr-18,6.5
May-18,10.7
Jun-18,13
Jul-18,14.9
Aug-18,12.9
Sep-18,10.5
Oct-18,
